Absorb Elements,Abjuration,1 Reaction,Self,1 round,S
Acid Stream (UA),Evocation,1 Action,Self (30-foot line),"Concentration, up to 1 minute","V, S, M"
Alarm,Abjuration,1 Action R,30 feet,8 Hours,"V, S, M"
Animal Friendship,Enchantment,1 Action,30 feet,24 hours,"V, S, M"
Arcane Weapon (UA),Transmutation,1 Bonus Action,Self,"Concentration, up to 1 hour","V, S"
Armor of Agathys,Abjuration,1 Action,Self,1 hour,"V, S, M"
Arms of Hadar,Conjuration,1 Action,Self (10-foot radius),Instantaneous,"V, S"
Bane,Enchantment,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
Beast Bond,Divination,1 Action,Touch,"Concentration, up to 1 minute","V, S, M"
Bless,Enchantment,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
Burning Hands,Evocation,1 Action,Self (15-foot cone),Instantaneous,"V, S"
Catapult,Transmutation,1 Action,60 feet,Instantaneous,S
Cause Fear,Necromancy,1 Action,60 feet,"Concentration, up to 1 minute","V, S"
Ceremony,Evocation,1 Action R,Touch,Instantaneous,"V, S, M"
Chaos Bolt,Evocation,1 Action,120 feet,Instantaneous,"V, S"
Charm Person,Enchantment,1 Action,30 feet,1 hour,"V, S"
Chromatic Orb,Evocation,1 Action,90 feet,Instantaneous,"V, S, M"
Color Spray,Illusion,1 Action,Self (15-foot cone),1 round,"V, S, M"
Command,Enchantment,1 Action,60 feet,1 round,V
Compelled Duel,Enchantment,1 Bonus Action,30 feet,"Concentration, up to 1 minute",V
Comprehend Languages,Divination,1 Action R,Self,1 hour,"V, S, M"
Create or Destroy Water,Transmutation,1 Action,30 feet,Instantaneous,"V, S, M"
Cure Wounds,Evocation,1 Action,Touch,Instantaneous,"V, S"
Detect Evil and Good,Divination,1 Action,Self,"Concentration, up to 10 minutes","V, S"
Detect Magic,Divination,1 Action R,Self,"Concentration, up to 10 minutes","V, S"
Detect Poison and Disease,Divination,1 Action,Self,"Concentration, up to 10 minutes","V, S, M"
Disguise Self,Illusion,1 Action,Self,1 hour,"V, S"
Dissonant Whispers,Enchantment,1 Action,60 feet,Instantaneous,V
Distort Value,Illusion,1 Minute,Touch,8 hours,V
Divine Favor,Evocation,1 Bonus Action,Self,"Concentration, up to 1 minute","V, S"
Earth Tremor,Evocation,1 Action,Self (10-foot radius),Instantaneous,"V, S"
Ensnaring Strike,Conjuration,1 Bonus Action,Self,"Concentration, up to 1 minute",V
Entangle,Conjuration,1 Action,90 feet,"Concentration, up to 1 minute","V, S"
Expeditious Retreat,Transmutation,1 Bonus Action,Self,"Concentration, up to 10 minutes","V, S"
Faerie Fire,Evocation,1 Action,60 feet,"Concentration, up to 1 minute",V
False Life,Necromancy,1 Action,Self,1 hour,"V, S, M"
Feather Fall,Transmutation,1 Reaction,60 feet,1 minute,"V, M"
Find Familiar,Conjuration,1 Hour R,10 feet,Instantaneous,"V, S, M"
Fog Cloud,Conjuration,1 Action,120 feet,"Concentration, up to 1 hour","V, S"
Frost Fingers,Evocation,1 Action,Self (15-foot cone),Instantaneous,"V, S"
Gift of Alacrity,Divination DC,1 Minute,Touch,8 hours,"V, S"
Goodberry,Transmutation,1 Action,Touch,Instantaneous,"V, S, M"
Grease,Conjuration,1 Action,60 feet,1 minute,"V, S, M"
Guiding Bolt,Evocation,1 Action,120 feet,1 round,"V, S"
Guiding Hand (UA),Divination,1 Minute R,5 feet,"Concentration, up to 8 hours","V, S"
Hail of Thorns,Conjuration,1 Bonus Action,Self,"Concentration, up to 1 minute",V
Healing Elixir (UA),Conjuration,1 Minute,Self,24 hours,"V, S, M"
Healing Word,Evocation,1 Bonus Action,60 feet,Instantaneous,V
Hellish Rebuke,Evocation,1 Reaction,60 feet,Instantaneous,"V, S"
Heroism,Enchantment,1 Action,Touch,"Concentration, up to 1 minute","V, S"
Hex,Enchantment,1 Bonus Action,90 feet,"Concentration, up to 1 hour","V, S, M"
Hunter's Mark,Divination,1 Bonus Action,90 feet,"Concentration, up to 1 hour",V
Ice Knife,Conjuration,1 Action,60 feet,Instantaneous,"S, M"
Id Insinuation (UA),Enchantment,1 Action,60 feet,"Concentration, up to 1 minute","V, S"
Identify,Divination,1 Minute R,Touch,Instantaneous,"V, S, M"
Illusory Script,Illusion,1 Minute,Touch,10 days,"S, M"
Infallible Relay (UA),Divination T,1 Minute,Self,"Concentration, up to 10 minutes","V, S, M"
Inflict Wounds,Necromancy,1 Action,Touch,Instantaneous,"V, S"
Jim's Magic Missile,Evocation,1 Action,120 feet,Instantaneous,"V, S, M"
Jump,Transmutation,1 Action,Touch,1 minute,"V, S, M"
Longstrider,Transmutation,1 Action,Touch,1 hour,"V, S, M"
Mage Armor,Abjuration,1 Action,Touch,8 hours,"V, S, M"
Magic Missile,Evocation,1 Action,120 feet,Instantaneous,"V, S"
Magnify Gravity,Transmutation DG,1 Action,60 feet,1 round,"V, S"
Protection from Evil and Good,Abjuration,1 Action,Touch,"Concentration, up to 10 minutes","V, S, M"
Puppet (UA),Enchantment,1 Action,120 feet,Instantaneous,V
Purify Food and Drink,Transmutation,1 Action R,10 feet,Instantaneous,"V, S"
Ray of Sickness,Necromancy,1 Action,60 feet,Instantaneous,"V, S"
Remote Access (UA),Transmutation T,1 Action,120 feet,10 minutes,"V, S"
Sanctuary,Abjuration,1 Bonus Action,30 feet,1 minute,"V, S, M"
Searing Smite,Evocation,1 Bonus Action,Self,"Concentration, up to 1 minute",V
Sense Emotion (UA),Divination,1 Action,Self,"Concentration, up to 1 minute","V, S"
Shield,Abjuration,1 Reaction,Self,1 round,"V, S"
Shield of Faith,Abjuration,1 Bonus Action,60 feet,"Concentration, up to 1 minute","V, S, M"
Silent Image,Illusion,1 Action,60 feet,"Concentration, up to 10 minutes","V, S, M"
Silvery Barbs,Enchantment,1 Reaction,60 feet,Instantaneous,V
Sleep,Enchantment,1 Action,90 feet,1 minute,"V, S, M"
Snare,Abjuration,1 Minute,Touch,Until dispelled or triggered,"V, S, M"
Speak with Animals,Divination,1 Action R,Self,10 minutes,"V, S"
Sudden Awakening (UA),Enchantment,1 Bonus Action,10 feet,Instantaneous,V
Tasha's Caustic Brew,Evocation,1 Action,Self (30-foot line),"Concentration, up to 1 minute","V, S, M"
Tasha's Hideous Laughter,Enchantment,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
Tenser's Floating Disk,Conjuration,1 Action R,30 feet,1 hour,"V, S, M"
Thunderous Smite,Evocation,1 Bonus Action,Self,"Concentration, up to 1 minute",V
Thunderwave,Evocation,1 Action,Self (15-foot cube),Instantaneous,"V, S"
Unearthly Chorus (UA),Illusion,1 Action,Self (30-foot radius),"Concentration, up to 10 minutes",V
Unseen Servant,Conjuration,1 Action R,60 feet,1 hour,"V, S, M"
Wild Cunning (UA),Transmutation,1 Action R,120 feet,Instantaneous,"V, S"
Witch Bolt,Evocation,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
Wrathful Smite,Evocation,1 Bonus Action,Self,"Concentration, up to 1 minute",V
Zephyr Strike,Transmutation,1 Bonus Action,Self,"Concentration, up to 1 minute",V